Stock Location,Cellar,Retail,SKU,L-WIN,Wine Searcher,Country,Region,Sub Region,Colour,Type,Alc%,Classification,Bottles/Case,Box Type,Wine Name,Vintage,Single size,"Bottle price landed, DP excellar",Shop Price + VAT,Shop Price ex VAT,Actual Margin,Note
,FALSE,FALSE,,,,,,,,,,,,,Giscours,2006,0.75,25.17, £	72.75 ,58.2,131%,
,FALSE,FALSE,,,,,,,,,,,,,Gloria,2005,0.75,28, £	57.00 ,45.6,63%,
,FALSE,FALSE,,,,,,,,,,,,,Gloria,2009,0.75,23.5416666666667,POA,NA,,
,FALSE,FALSE,,,,,,,,,,,,,"Graham, 10 Year Old Tawny Port",NV,0.75,10, £	23.20 ,18.56,86%,
,FALSE,FALSE,,,,,,,,,,,,,"Graham, 20 Years Old Tawny Port",NV,0.75,15, £	44.10 ,35.28,135%,
,FALSE,FALSE,,,,,,,,,,,,,"Graham, Crusted",2003,0.75,NA, £	24.60 ,19.68,,check with Simon the purchase price
C4,TRUE,FALSE,,,,,,,,,,,24,,Grand Corbin,2006,0.375,8,NA,NA,,
B2,TRUE,FALSE,,,,,,,,,,Grand Cru,12,Wood,Grand Corbin,2000,0.75,16.4583333333333, £	32.75 ,26.2,59%,
,FALSE,FALSE,,,,,,,,,,,,,"Grand Montmirail, Gigondas Beauchamp",2009,0.75,10.39, £	20.40 ,16.32,57%,
,FALSE,FALSE,,,,,,,,,,,,,"Grand Montmirail, Gigondas Beauchamp",2012,0.75,9.71666666666667,NA,NA,,
B10,TRUE,FALSE,,,,,,,,,,,12,,"Grand Montmirail, Vacqueyras Deux Frere",2012,0.75,8.5725, £	16.30 ,13.04,52%,
,FALSE,FALSE,,,,,,,,,,,,,Grand Puy Ducasse,2005,0.75,23.75, £	65.50 ,52.4,121%,
C7,TRUE,FALSE,,,,,,,,,,,12,,Grand Puy Lacoste,1995,0.75,20, £	130.95 ,104.76,424%,Edward mistake 14 bottles only in the cellar
C7,TRUE,FALSE,,,,,,,,,,,,,Grand Puy Lacoste,1998,0.75,34.38, £	69.85 ,55.88,63%,
C7,TRUE,FALSE,,,,,,,,,,,,,Grand Puy Lacoste,1999,0.75,36.5, £	65.50 ,52.4,44%,
